レコード種別,カラム名,位置,長さ
CH,本年前年累計成績情報_1_京都障害着回数_1,1360,6
CH,本年前年累計成績情報_1_京都障害着回数_2,1366,6
CH,本年前年累計成績情報_1_京都障害着回数_3,1372,6
CH,本年前年累計成績情報_1_京都障害着回数_4,1378,6
CH,本年前年累計成績情報_1_京都障害着回数_5,1384,6
CH,本年前年累計成績情報_1_京都障害着回数_6,1390,6
CH,本年前年累計成績情報_1_阪神平地着回数_1,1396,6
CH,本年前年累計成績情報_1_阪神平地着回数_2,1402,6
CH,本年前年累計成績情報_1_阪神平地着回数_3,1408,6
CH,本年前年累計成績情報_1_阪神平地着回数_4,1414,6
CH,本年前年累計成績情報_1_阪神平地着回数_5,1420,6
CH,本年前年累計成績情報_1_阪神平地着回数_6,1426,6
CH,本年前年累計成績情報_1_阪神障害着回数_1,1432,6
CH,本年前年累計成績情報_1_阪神障害着回数_2,1438,6
CH,本年前年累計成績情報_1_阪神障害着回数_3,1444,6
CH,本年前年累計成績情報_1_阪神障害着回数_4,1450,6
CH,本年前年累計成績情報_1_阪神障害着回数_5,1456,6
CH,本年前年累計成績情報_1_阪神障害着回数_6,1462,6
CH,本年前年累計成績情報_1_小倉平地着回数_1,1468,6
CH,本年前年累計成績情報_1_小倉平地着回数_2,1474,6
CH,本年前年累計成績情報_1_小倉平地着回数_3,1480,6
CH,本年前年累計成績情報_1_小倉平地着回数_4,1486,6
CH,本年前年累計成績情報_1_小倉平地着回数_5,1492,6
CH,本年前年累計成績情報_1_小倉平地着回数_6,1498,6
CH,本年前年累計成績情報_1_小倉障害着回数_1,1504,6
CH,本年前年累計成績情報_1_小倉障害着回数_2,1510,6
CH,本年前年累計成績情報_1_小倉障害着回数_3,1516,6
CH,本年前年累計成績情報_1_小倉障害着回数_4,1522,6
CH,本年前年累計成績情報_1_小倉障害着回数_5,1528,6
CH,本年前年累計成績情報_1_小倉障害着回数_6,1534,6
CH,本年前年累計成績情報_1_芝16下着回数_1,1540,6
CH,本年前年累計成績情報_1_芝16下着回数_2,1546,6
CH,本年前年累計成績情報_1_芝16下着回数_3,1552,6
CH,本年前年累計成績情報_1_芝16下着回数_4,1558,6
CH,本年前年累計成績情報_1_芝16下着回数_5,1564,6
CH,本年前年累計成績情報_1_芝16下着回数_6,1570,6
CH,本年前年累計成績情報_1_芝22下着回数_1,1576,6
CH,本年前年累計成績情報_1_芝22下着回数_2,1582,6
CH,本年前年累計成績情報_1_芝22下着回数_3,1588,6
CH,本年前年累計成績情報_1_芝22下着回数_4,1594,6
CH,本年前年累計成績情報_1_芝22下着回数_5,1600,6
CH,本年前年累計成績情報_1_芝22下着回数_6,1606,6
CH,本年前年累計成績情報_1_芝22超着回数_1,1612,6
CH,本年前年累計成績情報_1_芝22超着回数_2,1618,6
CH,本年前年累計成績情報_1_芝22超着回数_3,1624,6
CH,本年前年累計成績情報_1_芝22超着回数_4,1630,6
CH,本年前年累計成績情報_1_芝22超着回数_5,1636,6
CH,本年前年累計成績情報_1_芝22超着回数_6,1642,6
CH,本年前年累計成績情報_1_ダ16下着回数_1,1648,6
CH,本年前年累計成績情報_1_ダ16下着回数_2,1654,6
CH,本年前年累計成績情報_1_ダ16下着回数_3,1660,6
CH,本年前年累計成績情報_1_ダ16下着回数_4,1666,6
CH,本年前年累計成績情報_1_ダ16下着回数_5,1672,6
CH,本年前年累計成績情報_1_ダ16下着回数_6,1678,6
CH,本年前年累計成績情報_1_ダ22下着回数_1,1684,6
CH,本年前年累計成績情報_1_ダ22下着回数_2,1690,6
CH,本年前年累計成績情報_1_ダ22下着回数_3,1696,6
CH,本年前年累計成績情報_1_ダ22下着回数_4,1702,6
CH,本年前年累計成績情報_1_ダ22下着回数_5,1708,6
CH,本年前年累計成績情報_1_ダ22下着回数_6,1714,6
CH,本年前年累計成績情報_1_ダ22超着回数_1,1720,6
CH,本年前年累計成績情報_1_ダ22超着回数_2,1726,6
CH,本年前年累計成績情報_1_ダ22超着回数_3,1732,6
CH,本年前年累計成績情報_1_ダ22超着回数_4,1738,6
CH,本年前年累計成績情報_1_ダ22超着回数_5,1744,6
CH,本年前年累計成績情報_1_ダ22超着回数_6,1750,6
CH,本年前年累計成績情報_2_設定年,1756,4
CH,本年前年累計成績情報_2_平地本賞金合計,1760,10
CH,本年前年累計成績情報_2_障害本賞金合計,1770,10
CH,本年前年累計成績情報_2_平地付加賞金合計,1780,10
CH,本年前年累計成績情報_2_障害付加賞金合計,1790,10
CH,本年前年累計成績情報_2_平地着回数_1,1800,6
CH,本年前年累計成績情報_2_平地着回数_2,1806,6
CH,本年前年累計成績情報_2_平地着回数_3,1812,6
CH,本年前年累計成績情報_2_平地着回数_4,1818,6
CH,本年前年累計成績情報_2_平地着回数_5,1824,6
CH,本年前年累計成績情報_2_平地着回数_6,1830,6
CH,本年前年累計成績情報_2_障害着回数_1,1836,6
CH,本年前年累計成績情報_2_障害着回数_2,1842,6
CH,本年前年累計成績情報_2_障害着回数_3,1848,6
CH,本年前年累計成績情報_2_障害着回数_4,1854,6
CH,本年前年累計成績情報_2_障害着回数_5,1860,6
CH,本年前年累計成績情報_2_障害着回数_6,1866,6
CH,本年前年累計成績情報_2_札幌平地着回数_1,1872,6
CH,本年前年累計成績情報_2_札幌平地着回数_2,1878,6
CH,本年前年累計成績情報_2_札幌平地着回数_3,1884,6
CH,本年前年累計成績情報_2_札幌平地着回数_4,1890,6
CH,本年前年累計成績情報_2_札幌平地着回数_5,1896,6
CH,本年前年累計成績情報_2_札幌平地着回数_6,1902,6
CH,本年前年累計成績情報_2_札幌障害着回数_1,1908,6
CH,本年前年累計成績情報_2_札幌障害着回数_2,1914,6
CH,本年前年累計成績情報_2_札幌障害着回数_3,1920,6
CH,本年前年累計成績情報_2_札幌障害着回数_4,1926,6
CH,本年前年累計成績情報_2_札幌障害着回数_5,1932,6
CH,本年前年累計成績情報_2_札幌障害着回数_6,1938,6
CH,本年前年累計成績情報_2_函館平地着回数_1,1944,6
CH,本年前年累計成績情報_2_函館平地着回数_2,1950,6
CH,本年前年累計成績情報_2_函館平地着回数_3,1956,6
CH,本年前年累計成績情報_2_函館平地着回数_4,1962,6
CH,本年前年累計成績情報_2_函館平地着回数_5,1968,6
CH,本年前年累計成績情報_2_函館平地着回数_6,1974,6
CH,本年前年累計成績情報_2_函館障害着回数_1,1980,6
CH,本年前年累計成績情報_2_函館障害着回数_2,1986,6
CH,本年前年累計成績情報_2_函館障害着回数_3,1992,6
CH,本年前年累計成績情報_2_函館障害着回数_4,1998,6
CH,本年前年累計成績情報_2_函館障害着回数_5,2004,6
CH,本年前年累計成績情報_2_函館障害着回数_6,2010,6
CH,本年前年累計成績情報_2_福島平地着回数_1,2016,6
CH,本年前年累計成績情報_2_福島平地着回数_2,2022,6
CH,本年前年累計成績情報_2_福島平地着回数_3,2028,6
CH,本年前年累計成績情報_2_福島平地着回数_4,2034,6
CH,本年前年累計成績情報_2_福島平地着回数_5,2040,6
CH,本年前年累計成績情報_2_福島平地着回数_6,2046,6
CH,本年前年累計成績情報_2_福島障害着回数_1,2052,6
CH,本年前年累計成績情報_2_福島障害着回数_2,2058,6
CH,本年前年累計成績情報_2_福島障害着回数_3,2064,6
CH,本年前年累計成績情報_2_福島障害着回数_4,2070,6
